2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)],2025년_ [기숙사 수용 현황 (대학)]
ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24
"(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)","(단위 : 명, %, 원)"
기준연도,학교,재학생수(A),총 실수,수용가능인원(B),실제 수용 인원,실제 수용 인원,실제 수용 인원,"기숙사수용률
(C=B/Ax100)",기숙사 지원자 수(D),기숙사 지원자 수(D),기숙사 지원자 수(D),"입사 경쟁률
(E=D/B)","의무식
여부",구분,건물명,준공연도,1인실,1인실,1인실,2인실,2인실,2인실,3인실,3인실,3인실,4인실 이상,4인실 이상,4인실 이상,비고
기준연도,학교,재학생수(A),총 실수,수용가능인원(B),학위과정,학위과정,비학위과정,"기숙사수용률
(C=B/Ax100)",기숙사 지원자 수(D),기숙사 지원자 수(D),기숙사 지원자 수(D),"입사 경쟁률
(E=D/B)","의무식
여부",구분,건물명,준공연도,실수,식비,기숙사비,실수,식비,기숙사비,실수,식비,기숙사비,실수,식비,기숙사비,비고
기준연도,학교,재학생수(A),총 실수,수용가능인원(B),내국인,외국인,외국인,"기숙사수용률
(C=B/Ax100)",동일지역,타지역,합계,"입사 경쟁률
(E=D/B)","의무식
여부",구분,건물명,준공연도,실수,식비,기숙사비,실수,식비,기숙사비,실수,식비,기숙사비,실수,식비,기숙사비,비고
2025,충남대학교,"21,701",132,"4,665",216,0,0,21.5,18,202,220,0.7,O,직영(구내),3동,1986,10,"3,920","380,100",122,"3,920","199,200",0,0,0,0,0,0,
2025,충남대학교,"21,701",43,"4,665",40,12,0,21.5,22,31,53,0.7,X,직영(구내),보운관 1동,2001,0,0,0,43,0,"175,200",0,0,0,0,0,0,
2025,충남대학교,"21,701",132,"4,665",0,248,0,21.5,13,25,38,0.7,O,직영(구내),2동,1986,0,0,0,132,"3,920","199,200",0,0,0,0,0,0,외국인 전용
2025,충남대학교,"21,701",225,"4,665",217,0,0,21.5,10,127,137,0.7,O,직영(구내),1동,1986,225,"3,920","317,100",0,0,0,0,0,0,0,0,0,
2025,충남대학교,"21,701",95,"4,665",101,0,0,21.5,11,100,111,0.7,X,민자(BTL),보운관 2동,2015,40,0,"399,300",55,0,"220,200",0,0,0,0,0,0,
