2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)],2025년_ [신입생 충원 현황 (대학)]
ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2026-01-15
,,,,,,,,,,,,,,,,,,,,
기준연도,학교,단과대학,"학과
(모집단위)",구분,학과특성,학과상태,"입학정원
(A)",모집인원,모집인원,모집인원,지원자,지원자,지원자,입학자,입학자,입학자,입학자,입학자,"정원내
신입생 충원율(%)
(D/B) × 100","경쟁률
(C/B)"
기준연도,학교,단과대학,"학과
(모집단위)",구분,학과특성,학과상태,"입학정원
(A)",계,"정원내
(B)",정원외,계,"정원내
(C)",정원외,계,정원내(D),정원내(D),정원외,정원외,"정원내
신입생 충원율(%)
(D/B) × 100","경쟁률
(C/B)"
기준연도,학교,단과대학,"학과
(모집단위)",구분,학과특성,학과상태,"입학정원
(A)",계,"정원내
(B)",정원외,계,"정원내
(C)",정원외,계,남,여,남,여,"정원내
신입생 충원율(%)
(D/B) × 100","경쟁률
(C/B)"
"""합 계""","""합 계""","""합 계""","""합 계""","""합 계""","""합 계""","""합 계""","3,778","4,267","3,739",528,"40,941","38,520","2,421","4,091","1,819","1,919",187,166,100,10.3
2025,충남대학교,간호대학,간호학과,주간,일반과정,기존,90,93,90,3,869,832,37,93,17,73,0,3,100,9.2
2025,충남대학교,경상대학,경영학과,주간,일반과정,폐과,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,경상대학,경영학부,주간,일반과정,기존,181,194,181,13,"2,005","1,902",103,193,75,106,4,8,100,10.5
2025,충남대학교,경상대학,경제학과,주간,일반과정,기존,48,55,48,7,540,502,38,55,27,21,4,3,100,10.5
