2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)],2025년_ [졸업생의 진학 현황 (대학)]
ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07,ㆍ작성자 : 김민정/인재개발원   ㆍ확인자 : 김민정/인재개발원   ㆍ최종확인일자 : 2026-01-07
,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,단과대학,학과(전공),구분,학과특성,졸업자(A),졸업자(A),진학자,진학자,진학자,진학자,진학자,진학자,진학자,진학자,진학자,진학자,진학자,진학자,진학자,진학자,"진학률(%)
(B/A)*100"
기준연도,학교명,단과대학,학과(전공),구분,학과특성,졸업자(A),졸업자(A),계(B),계(B),국내,국내,국내,국내,국내,국내,국외,국외,국외,국외,국외,국외,"진학률(%)
(B/A)*100"
기준연도,학교명,단과대학,학과(전공),구분,학과특성,졸업자(A),졸업자(A),계(B),계(B),전문대학,전문대학,대학,대학,대학원,대학원,전문대학,전문대학,대학,대학,대학원,대학원,"진학률(%)
(B/A)*100"
기준연도,학교명,단과대학,학과(전공),구분,학과특성,남,여,남,여,남,여,남,여,남,여,남,여,남,여,남,여,"진학률(%)
(B/A)*100"
합 계,합 계,합 계,합 계,합 계,합 계,"1,800","1,752",305,275,0,0,2,6,303,267,0,0,0,0,0,2,16.3
2024,충남대학교,간호대학,간호학과,주간,일반과정,13,71,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2.4
2024,충남대학교,경상대학,경영학과,주간,일반과정,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,충남대학교,경상대학,경영학부,주간,일반과정,123,140,2,2,0,0,1,0,1,2,0,0,0,0,0,0,1.5
2024,충남대학교,경상대학,경제학과,주간,일반과정,30,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.7
2024,충남대학교,경상대학,국제경영학과,주간,일반과정,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,충남대학교,경상대학,무역학과,주간,일반과정,17,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.1
2024,충남대학교,경상대학,아시아비즈니스국제학과,주간,일반과정,23,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,7.4
2024,충남대학교,경상대학,회계학과,주간,일반과정,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,충남대학교,공과대학,건축공학과,주간,일반과정,24,8,4,4,0,0,0,0,4,4,0,0,0,0,0,0,25
