2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)],2025년_ [편입학 선발 결과 (대학)]
ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 오병윤/입학본부 입학과   ㆍ확인자 : 구준서/입학본부 입학과   ㆍ최종확인일자 : 2025-08-07
,,,,,,,,,,,,,,,,,,,,
기준연도,모집시기,단과대학,학과(모집단위),구분,학과특성,모집인원,모집인원,모집인원,모집인원,모집인원,지원자,지원자,지원자,지원자,지원자,등록인원,등록인원,등록인원,등록인원,등록인원
기준연도,모집시기,단과대학,학과(모집단위),구분,학과특성,정원내,정원내,정원외,정원외,정원외,정원내,정원내,정원외,정원외,정원외,정원내,정원내,정원외,정원외,정원외
기준연도,모집시기,단과대학,학과(모집단위),구분,학과특성,일반편입,기타,학사편입,특별편입학,기타,일반편입,기타,학사편입,특별편입학,기타,일반편입,기타,학사편입,특별편입학,기타
합 계,합 계,합 계,합 계,합 계,합 계,452,0,90,0,30,"2,665",0,308,0,47,354,0,39,0,21
202503,전기,간호대학,간호학과,주간,일반과정,15,0,0,0,0,138,0,0,0,0,3,0,0,0,0
202503,전기,경상대학,경영학부,주간,일반과정,25,0,9,0,0,168,0,35,0,1,24,0,8,0,0
202503,전기,경상대학,경제학과,주간,일반과정,0,0,2,0,0,0,0,7,0,1,0,0,2,0,0
202503,전기,경상대학,무역학과,주간,일반과정,10,0,1,0,0,46,0,4,0,2,9,0,1,0,1
