2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)],2025년_ [재적 학생 현황 (대학)]
ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 조준행/학사지원과   ㆍ확인자 : 이상훈/학사지원과   ㆍ최종확인일자 : 2025-08-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,계열,학생정원,재학생(A),재학생(A),재학생(A),재학생(A),재학생(A),재학생(A),재학생(A),휴학생(B),휴학생(B),휴학생(B),휴학생(B),휴학생(B),휴학생(B),휴학생(B),학사학위취득유예학생(C),학사학위취득유예학생(C),학사학위취득유예학생(C),학사학위취득유예학생(C),학사학위취득유예학생(C),학사학위취득유예학생(C),학사학위취득유예학생(C),재적학생(D=A+B+C),재적학생(D=A+B+C),재적학생(D=A+B+C),재적학생(D=A+B+C),재적학생(D=A+B+C),재적학생(D=A+B+C),재적학생(D=A+B+C)
기준연도,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,계열,학생정원,계,계,계,남,남,여,여,계,계,계,남,남,여,여,계,계,계,남,남,여,여,계,계,계,남,남,여,여
기준연도,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,계열,학생정원,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
,,,,,,,,"14,967","17,696","16,022","1,674","8,233",898,"7,789",776,"4,630","4,349",281,"3,447",216,902,65,173,163,10,81,5,82,5,"22,499","20,534","1,965","11,761","1,119","8,773",846
2025,충남대학교,간호대학,간호학과,주간,일반과정,기존,자연과학계열,360,351,335,16,63,0,272,16,55,53,2,32,0,21,2,0,0,0,0,0,0,0,406,388,18,95,0,293,18
2025,충남대학교,경상대학,경영학과,주간,일반과정,폐과,인문ㆍ사회계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,경상대학,경영학부,주간,일반과정,기존,인문ㆍ사회계열,862,"1,149","1,058",91,482,40,576,51,422,412,10,281,8,131,2,14,13,1,5,1,8,0,"1,585","1,483",102,768,49,715,53
2025,충남대학교,경상대학,경제학과,주간,일반과정,기존,인문ㆍ사회계열,228,336,295,41,178,23,117,18,108,104,4,81,3,23,1,2,2,0,0,0,2,0,446,401,45,259,26,142,19
2025,충남대학교,경상대학,국제경영학과,주간,일반과정,폐과,인문ㆍ사회계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,경상대학,무역학과,주간,일반과정,기존,인문ㆍ사회계열,171,273,225,48,100,14,125,34,75,69,6,46,4,23,2,4,3,1,0,1,3,0,352,297,55,146,19,151,36
2025,충남대학교,경상대학,아시아비즈니스국제학과,주간,일반과정,폐과,인문ㆍ사회계열,0,36,18,18,13,13,5,5,6,6,0,2,0,4,0,0,0,0,0,0,0,0,42,24,18,15,13,9,5
2025,충남대학교,경상대학,회계학과,주간,일반과정,폐과,인문ㆍ사회계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,공과대학,건축공학과,주간,일반과정,폐과,공학계열,24,65,60,5,49,3,11,2,10,9,1,9,1,0,0,0,0,0,0,0,0,0,75,69,6,58,4,11,2
2025,충남대학교,공과대학,건축학과(5),주간,일반과정,기존,공학계열,135,167,151,16,72,8,79,8,54,47,7,35,5,12,2,1,0,1,0,0,0,1,222,198,24,107,13,91,11
2025,충남대학교,공과대학,고분자공학과,주간,일반과정,폐과,공학계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,공과대학,고분자공학전공,주간,일반과정,폐과,공학계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,공과대학,공업교육학부,주간,일반과정,폐과,공학계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,공과대학,기계・금속공학교육전공,주간,일반과정,폐과,공학계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,공과대학,기계・기계설계・메카트로닉스공학부,주간,일반과정,폐과,공학계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,공과대학,기계공학과,주간,일반과정,폐과,공학계열,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2025,충남대학교,공과대학,기계공학부,주간,일반과정,기존,공학계열,391,455,422,33,367,30,55,3,180,170,10,162,10,8,0,11,11,0,11,0,0,0,646,603,43,540,40,63,3
2025,충남대학교,공과대학,기계공학전공,주간,일반과정,폐과,공학계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,충남대학교,공과대학,기계설계공학과,주간,일반과정,폐과,공학계열,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
