2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],2025년_ [신입생의 출신 고등학교 유형별 현황 (대학)],
ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,ㆍ작성자 : 강연욱/입학본부   ㆍ확인자 : 현예진/입학본부   ㆍ최종확인일자 : 2025-06-05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교,정원구분,전형유형,"전형명
(대분류)",총입학자수,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 유형별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율,출신학교 지역정보별 입학자수 및 비율
기준연도,학교,정원구분,전형유형,"전형명
(대분류)",총입학자수,일반고,일반고,특수목적고,특수목적고,특수목적고,특수목적고,특수목적고,특수목적고,특수목적고,특수목적고,특성화고,특성화고,자율고,자율고,자율고,자율고,기타,기타,기타,기타,기타,기타,기타,기타,기타,기타,소계,소계,특별시,특별시,광역시·특별자치시,광역시·특별자치시,중소도시,중소도시,읍면,읍면,특수,특수,기타,기타,소계,소계,소계
기준연도,학교,정원구분,전형유형,"전형명
(대분류)",총입학자수,일반고,일반고,과학고,과학고,"외고·
국제고","외고·
국제고","예술·
체육고","예술·
체육고","산업수요맞춤형
고등학교","산업수요맞춤형
고등학교",특성화고,특성화고,자율고,자율고,자율고,자율고,영재학교,영재학교,"외국인
학교","외국인
학교","외국
고등학교","외국
고등학교",검정고시,검정고시,그 외 기타,그 외 기타,소계,소계,특별시,특별시,광역시·특별자치시,광역시·특별자치시,중소도시,중소도시,읍면,읍면,특수,특수,기타,기타,소계,소계,소계
기준연도,학교,정원구분,전형유형,"전형명
(대분류)",총입학자수,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,사립,사립,공립,공립,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,비율
기준연도,학교,정원구분,전형유형,"전형명
(대분류)",총입학자수,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,학생수,비율,비율
합계,합계,합계,합계,합계,"4,059","3,181",78.37,5,0.12,37,0.91,45,1.11,3,0.07,73,1.8,130,3.2,248,6.11,9,0.22,0,0,41,1.01,275,6.78,12,0.3,"4,059",100,191,4.71,"1,507",37.13,"1,748",43.06,568,13.99,2,0.05,43,1.06,"4,059",100,100
2025,충남대학교,정원내,학생부위주(교과),일반전형,"1,174",928,79.05,0,0,0,0,1,0.09,0,0,12,1.02,0,0,44,3.75,0,0,0,0,0,0,189,16.1,0,0,"1,174",100,47,4,412,35.09,600,51.11,115,9.8,0,0,0,0,"1,174",100,100
2025,충남대학교,정원내,학생부위주(교과),지역인재 특별전형,480,436,90.83,0,0,0,0,0,0,0,0,2,0.42,1,0.21,41,8.54,0,0,0,0,0,0,0,0,0,0,480,100,0,0,255,53.13,186,38.75,39,8.13,0,0,0,0,480,100,100
