2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],2025년_ [전공과목 성적 분포 (대학)],
ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,ㆍ작성자 : 최세현/학사지원과   ㆍ확인자 : 구현정/학사지원과   ㆍ최종확인일자 : 2025-08-07,
,,,,,,,,,,,,
기준연도,학교명,단과대학,학과명,구분,학과특성,학기,성적인정 학생총수,등급,만점평점,학생수,비율,비율
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",A+,4.5,577,27.2,27.2
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",A0,4.5,440,20.7,20.7
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",B+,4.5,582,27.4,27.4
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",B0,4.5,125,5.9,5.9
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",C+,4.5,327,15.4,15.4
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",C0,4.5,61,2.9,2.9
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",D+,4.5,5,0.2,0.2
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",D0,4.5,2,0.1,0.1
2024,충남대학교,간호대학,간호학과,주간,일반과정,1학기,"2,121",F,4.5,2,0.1,0.1
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",A+,4.5,758,35.8,35.8
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",A0,4.5,402,19,19
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",B+,4.5,537,25.4,25.4
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",B0,4.5,89,4.2,4.2
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",C+,4.5,274,12.9,12.9
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",C0,4.5,50,2.4,2.4
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",D+,4.5,1,0,0
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",D0,4.5,1,0,0
2024,충남대학교,간호대학,간호학과,주간,일반과정,2학기,"2,117",F,4.5,5,0.2,0.2
2024,충남대학교,경상대학,경영학부,주간,일반과정,1학기,"3,498",A+,4.5,830,23.7,23.7
2024,충남대학교,경상대학,경영학부,주간,일반과정,1학기,"3,498",A0,4.5,241,6.9,6.9
2024,충남대학교,경상대학,경영학부,주간,일반과정,1학기,"3,498",B+,4.5,"1,140",32.6,32.6
2024,충남대학교,경상대학,경영학부,주간,일반과정,1학기,"3,498",B0,4.5,231,6.6,6.6
